step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,153.56,0.05,Rick,0.0,0.0,91.272,,0.0,0.0,0.0,0.0,0.0,0.0,,91.272
2.0,150.155,0.08,Rick,0.0,0.0,98.928,,False,False,False,False,False,False,,98.928
3.0,146.156,0.06,Rick,0.0,0.0,106.683,,False,False,False,False,False,False,,106.683
4.0,141.97,0.05,Rick,0.0,0.0,113.374,,False,False,False,False,False,False,,113.374
5.0,137.893,0.07,Rick,0.0,0.0,118.485,,False,False,False,False,False,False,,118.485
6.0,134.172,0.05,Rick,0.0,0.0,121.939,,False,False,False,False,False,False,,121.939
7.0,131.033,0.07,Rick,0.0,0.0,123.955,,False,False,False,False,False,False,,123.955
8.0,128.693,0.09,Rick,0.0,0.0,124.924,,False,False,False,False,False,False,,124.924
9.0,127.345,0.06,Rick,0.0,0.0,125.275,,False,False,False,False,False,False,,125.275
10.0,127.036,0.09,Rick,0.0,0.0,125.334,,False,False,False,False,False,False,,125.334
11.0,127.592,0.06,Rick,0.0,0.0,125.222,,False,False,False,False,False,False,,125.222
12.0,128.793,0.08,Rick,0.0,0.0,124.892,,False,False,False,False,False,False,,124.892
13.0,130.424,0.07,Rick,0.0,0.0,124.251,,False,False,False,False,False,False,,124.251
14.0,132.264,0.09,Rick,0.0,0.0,123.263,,False,False,False,False,False,False,,123.263
15.0,134.03,0.06,Rick,0.0,0.0,122.048,,False,False,False,False,False,False,,122.048
16.0,135.349,0.05,Rick,0.0,0.0,120.971,,False,False,False,False,False,False,,120.971
17.0,135.83,0.07,Rick,0.0,0.0,120.542,,False,False,False,False,False,False,,120.542
18.0,135.082,0.06,Rick,0.0,0.0,121.201,,False,False,False,False,False,False,,121.201
19.0,132.792,0.06,Rick,0.0,0.0,122.927,,False,False,False,False,False,False,,122.927
20.0,129.094,0.06,Rick,0.0,0.0,124.79,,False,False,False,False,False,False,,124.79
21.0,124.802,0.06,Rick,0.0,0.0,125.523,,False,False,False,False,False,False,,125.523
22.0,120.876,0.06,Rick,0.0,0.0,124.848,,False,False,False,False,False,False,,124.848
23.0,118.28,0.05,Rick,0.0,0.0,123.696,,False,False,False,False,False,False,,123.696
24.0,117.862,0.06,Morty,0.0,123.458,123.696,,False,False,False,False,False,False,,247.154
25.0,119.776,0.01,Morty,0.0,124.429,123.696,,False,False,False,False,False,False,,248.125
26.0,123.139,0.04,Morty,0.0,125.394,123.696,,False,False,False,False,False,False,,249.09
27.0,126.836,0.02,Rick,0.0,125.394,125.368,,False,False,False,False,False,False,,250.762
28.0,129.752,0.06,Rick,0.0,125.394,124.542,,False,False,False,False,False,False,,249.937
29.0,130.879,0.09,Rick,0.0,125.394,124.033,,False,False,False,False,False,False,,249.428
30.0,129.839,0.09,Rick,0.0,125.394,124.507,,False,False,False,False,False,False,,249.901
31.0,127.197,0.08,Rick,0.0,125.394,125.304,,False,False,False,False,False,False,,250.698
32.0,123.731,0.09,Rick,0.0,125.394,125.467,,False,False,False,False,False,False,,250.861
33.0,120.217,0.08,Rick,0.0,125.394,124.609,,False,False,False,False,False,False,,250.003
34.0,117.377,0.06,Rick,0.0,125.394,123.164,,False,False,False,False,False,False,,248.558
35.0,115.613,0.08,Morty,0.0,121.927,123.164,,False,False,False,False,False,False,,245.09
36.0,114.839,0.0,Morty,0.0,121.302,123.164,,False,False,False,False,False,False,,244.466
37.0,114.863,0.03,Morty,0.0,121.322,123.164,,False,False,False,False,False,False,,244.486
38.0,115.493,0.04,Morty,0.0,121.833,123.164,,False,False,False,False,False,False,,244.997
39.0,116.543,0.03,Morty,0.0,122.611,123.164,,False,False,False,False,False,False,,245.775
40.0,117.859,0.02,Morty,0.0,123.456,123.164,,False,False,False,False,False,False,,246.62
41.0,119.334,0.0,Morty,0.0,124.232,123.164,,False,False,False,False,False,False,,247.395
42.0,120.875,0.0,Morty,0.0,124.848,123.164,,False,False,False,False,False,False,,248.012
43.0,122.386,0.04,Rick,0.0,124.848,125.26,,False,False,False,False,False,False,,250.108
44.0,123.773,0.07,Rick,0.0,124.848,125.471,,False,False,False,False,False,False,,250.319
45.0,124.941,0.05,Rick,0.0,124.848,125.524,,False,False,False,False,False,False,,250.372
46.0,125.798,0.06,Rick,0.0,124.848,125.49,,False,False,False,False,False,False,,250.338
47.0,126.25,0.07,Rick,0.0,124.848,125.448,,False,False,False,False,False,False,,250.296
48.0,126.201,0.05,Rick,0.0,124.848,125.453,,False,False,False,False,False,False,,250.301
49.0,127.125,0.08,Rick,0.0,124.848,125.317,,False,False,False,False,False,False,,250.165
50.0,130.165,0.07,Rick,0.0,124.848,124.368,,False,False,False,False,False,False,,249.216
51.0,131.534,0.07,Rick,0.0,124.848,123.689,,False,False,False,False,False,False,,248.537
52.0,131.466,0.08,Rick,0.0,124.848,123.726,,False,False,False,False,False,False,,248.574
53.0,130.195,0.09,Rick,0.0,124.848,124.355,,False,False,False,False,False,False,,249.203
54.0,127.953,0.06,Rick,0.0,124.848,125.135,,False,False,False,False,False,False,,249.983
55.0,124.974,0.08,Rick,0.0,124.848,125.523,,False,False,False,False,False,False,,250.371
56.0,121.49,0.05,Rick,0.0,124.848,125.039,,False,False,False,False,False,False,,249.887
57.0,117.733,0.09,Rick,0.0,124.848,123.381,,False,False,False,False,False,False,,248.229
58.0,113.934,0.05,Morty,0.0,120.509,123.381,,False,False,False,False,False,False,,243.89
59.0,110.318,0.0,Morty,0.0,116.656,123.381,,False,False,False,False,False,False,,240.038
60.0,107.051,0.0,Morty,0.0,112.238,123.381,,False,False,False,False,False,False,,235.619
61.0,104.217,0.03,Morty,0.0,107.684,123.381,,False,False,False,False,False,False,,231.065
62.0,101.881,0.02,Morty,0.0,103.428,123.381,,False,False,False,False,False,False,,226.809
63.0,100.111,0.04,Morty,0.0,99.898,123.381,,False,False,False,False,False,False,,223.28
64.0,98.961,0.01,Morty,0.0,97.465,123.381,,False,False,False,False,False,False,,220.846
65.0,98.419,0.0,Morty,0.0,96.28,123.381,,False,False,False,False,False,False,,219.661
66.0,98.373,0.04,Morty,0.0,96.179,123.381,,False,False,False,False,False,False,,219.56
67.0,98.689,0.0,Morty,0.0,96.874,123.381,,False,False,False,False,False,False,,220.255
68.0,99.233,0.04,Morty,0.0,98.051,123.381,,False,False,False,False,False,False,,221.432
69.0,99.87,0.01,Morty,0.0,99.397,123.381,,False,False,False,False,False,False,,222.778
70.0,100.453,0.02,Morty,0.0,100.601,123.381,,False,False,False,False,False,False,,223.982
71.0,100.824,0.03,Morty,0.0,101.351,123.381,,False,False,False,False,False,False,,224.732
72.0,100.819,0.04,Morty,0.0,101.34,123.381,,False,False,False,False,False,False,,224.722
73.0,100.274,0.02,Morty,0.0,100.235,123.381,,False,False,False,False,False,False,,223.616
74.0,99.052,0.04,Morty,0.0,97.662,123.381,,False,False,False,False,False,False,,221.044
75.0,97.164,0.01,Morty,0.0,93.443,123.381,,False,False,False,False,False,False,,216.824
76.0,94.845,0.02,Morty,0.0,87.854,123.381,,False,False,False,False,False,False,,211.235
77.0,92.38,0.0,Morty,0.0,81.424,123.381,,False,False,False,False,False,False,,204.805
78.0,90.056,0.0,Morty,0.0,74.895,123.381,,False,False,False,False,False,False,,198.276
79.0,88.139,0.02,Morty,0.0,69.171,123.381,,False,False,False,False,False,False,,192.553
80.0,86.79,0.04,Morty,0.0,64.958,123.381,,False,False,False,False,False,False,,188.339
81.0,86.007,0.01,Morty,0.0,62.443,123.381,,False,False,False,False,False,False,,185.825
82.0,85.753,0.04,Morty,0.0,61.618,123.381,,False,False,False,False,False,False,,185.0
83.0,85.992,0.0,Morty,0.0,62.397,123.381,,False,False,False,False,False,False,,185.778
84.0,86.68,0.03,Morty,0.0,64.609,123.381,,False,False,False,False,False,False,,187.99
85.0,87.731,0.01,Morty,0.0,67.913,123.381,,False,False,False,False,False,False,,191.294
86.0,88.996,0.02,Morty,0.0,71.768,123.381,,False,False,False,False,False,False,,195.149
87.0,90.313,0.02,Morty,0.0,75.64,123.381,,False,False,False,False,False,False,,199.021
88.0,91.52,0.0,Morty,0.0,79.059,123.381,,False,False,False,False,False,False,,202.44
89.0,92.469,0.02,Morty,0.0,81.665,123.381,,False,False,False,False,False,False,,205.046
90.0,93.118,0.03,Morty,0.0,83.402,123.381,,False,False,False,False,False,False,,206.783
91.0,93.574,0.01,Morty,0.0,84.602,123.381,,False,False,False,False,False,False,,207.983
92.0,93.978,0.03,Morty,0.0,85.651,123.381,,False,False,False,False,False,False,,209.032
93.0,94.473,0.01,Morty,0.0,86.917,123.381,,False,False,False,False,False,False,,210.298
94.0,95.199,0.01,Morty,0.0,88.738,123.381,,False,False,False,False,False,False,,212.119
