step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,138.982,0.05,Rick,0.0,0.0,117.255,,0.0,0.0,0.0,0.0,0.0,0.0,,117.255
2.0,140.414,0.08,Rick,0.0,0.0,115.488,,False,False,False,False,False,False,,115.488
3.0,143.018,0.06,Rick,0.0,0.0,111.836,,False,False,False,False,False,False,,111.836
4.0,146.398,0.05,Rick,0.0,0.0,106.253,,False,False,False,False,False,False,,106.253
5.0,150.129,0.07,Rick,0.0,0.0,98.983,,False,False,False,False,False,False,,98.983
6.0,153.771,0.05,Rick,0.0,0.0,90.767,,False,False,False,False,False,False,,90.767
7.0,156.873,0.07,Rick,0.0,0.0,82.896,,False,False,False,False,False,False,,82.896
8.0,158.982,0.09,Rick,0.0,0.0,77.087,,False,False,False,False,False,False,,77.087
9.0,159.691,0.06,Rick,0.0,0.0,75.05,,False,False,False,False,False,False,,75.05
10.0,158.896,0.09,Rick,0.0,0.0,77.332,,False,False,False,False,False,False,,77.332
11.0,156.941,0.06,Rick,0.0,0.0,82.716,,False,False,False,False,False,False,,82.716
12.0,154.273,0.08,Rick,0.0,0.0,89.548,,False,False,False,False,False,False,,89.548
13.0,151.34,0.07,Rick,0.0,0.0,96.372,,False,False,False,False,False,False,,96.372
14.0,148.554,0.09,Rick,0.0,0.0,102.193,,False,False,False,False,False,False,,102.193
15.0,146.087,0.06,Rick,0.0,0.0,106.806,,False,False,False,False,False,False,,106.806
16.0,143.759,0.05,Rick,0.0,0.0,110.693,,False,False,False,False,False,False,,110.693
17.0,141.312,0.07,Rick,0.0,0.0,114.292,,False,False,False,False,False,False,,114.292
18.0,138.489,0.06,Rick,0.0,0.0,117.824,,False,False,False,False,False,False,,117.824
19.0,135.075,0.06,Rick,0.0,0.0,121.207,,False,False,False,False,False,False,,121.207
20.0,131.109,0.06,Rick,0.0,0.0,123.916,,False,False,False,False,False,False,,123.916
