step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward
1.0,141.554,0.13,Rick,0.0,0.0,113.959,,0.0,0.0,0.0,0.0,0.0,0.0,,113.959
2.0,143.311,0.0,Rick,0.0,0.0,111.39,,False,False,False,False,False,False,,111.39
3.0,144.509,0.13,Rick,0.0,0.0,109.49,,False,False,False,False,False,False,,109.49
4.0,145.023,0.07,Rick,0.0,0.0,108.64,,False,False,False,False,False,False,,108.64
5.0,144.919,0.04,Rick,0.0,0.0,108.812,,False,False,False,False,False,False,,108.812
6.0,144.364,0.06,Rick,0.0,0.0,109.727,,False,False,False,False,False,False,,109.727
7.0,143.563,0.13,Rick,0.0,0.0,111.0,,False,False,False,False,False,False,,111.0
8.0,142.742,0.12,Rick,0.0,0.0,112.249,,False,False,False,False,False,False,,112.249
9.0,142.116,0.11,Rick,0.0,0.0,113.165,,False,False,False,False,False,False,,113.165
10.0,141.813,0.09,Rick,0.0,0.0,113.596,,False,False,False,False,False,False,,113.596
11.0,141.829,0.02,Rick,0.0,0.0,113.574,,False,False,False,False,False,False,,113.574
12.0,142.127,0.09,Rick,0.0,0.0,113.149,,False,False,False,False,False,False,,113.149
13.0,142.668,0.03,Rick,0.0,0.0,112.36,,False,False,False,False,False,False,,112.36
14.0,143.407,0.05,Rick,0.0,0.0,111.241,,False,False,False,False,False,False,,111.241
15.0,144.294,0.01,Rick,0.0,0.0,109.839,,False,False,False,False,False,False,,109.839
16.0,145.269,0.15,Rick,0.0,0.0,108.223,,False,False,False,False,False,False,,108.223
17.0,146.269,0.02,Rick,0.0,0.0,106.483,,False,False,False,False,False,False,,106.483
18.0,147.229,0.02,Rick,0.0,0.0,104.733,,False,False,False,False,False,False,,104.733
19.0,148.083,0.1,Rick,0.0,0.0,103.112,,False,False,False,False,False,False,,103.112
20.0,148.749,0.05,Rick,0.0,0.0,101.807,,False,False,False,False,False,False,,101.807
21.0,149.12,0.01,Rick,0.0,0.0,101.063,,False,False,False,False,False,False,,101.063
22.0,149.087,0.04,Rick,0.0,0.0,101.13,,False,False,False,False,False,False,,101.13
23.0,148.538,0.02,Rick,0.0,0.0,102.224,,False,False,False,False,False,False,,102.224
24.0,147.403,0.04,Rick,0.0,0.0,104.408,,False,False,False,False,False,False,,104.408
25.0,145.841,0.12,Rick,0.0,0.0,107.238,,False,False,False,False,False,False,,107.238
26.0,144.36,0.09,Rick,0.0,0.0,109.732,,False,False,False,False,False,False,,109.732
27.0,143.546,0.03,Rick,0.0,0.0,111.027,,False,False,False,False,False,False,,111.027
28.0,143.983,0.06,Rick,0.0,0.0,110.339,,False,False,False,False,False,False,,110.339
29.0,146.166,0.04,Rick,0.0,0.0,106.667,,False,False,False,False,False,False,,106.667
30.0,150.034,0.02,Rick,0.0,0.0,99.182,,False,False,False,False,False,False,,99.182
31.0,154.702,0.08,Rick,0.0,0.0,88.489,,False,False,False,False,False,False,,88.489
32.0,159.098,0.08,Rick,0.0,0.0,76.757,,False,False,False,False,False,False,,76.757
33.0,162.151,0.03,Rick,0.0,0.0,67.66,,False,False,False,False,False,False,,67.66
34.0,162.899,0.12,Rick,0.0,0.0,65.314,,False,False,False,False,False,False,,65.314
35.0,161.025,0.08,Rick,0.0,0.0,71.107,,False,False,False,False,False,False,,71.107
36.0,157.183,0.13,Rick,0.0,0.0,82.067,,False,False,False,False,False,False,,82.067
37.0,152.242,0.11,Rick,0.0,0.0,94.35,,False,False,False,False,False,False,,94.35
38.0,147.074,0.14,Rick,0.0,0.0,105.022,,False,False,False,False,False,False,,105.022
39.0,142.483,0.07,Rick,0.0,0.0,112.632,,False,False,False,False,False,False,,112.632
40.0,138.902,0.05,Rick,0.0,0.0,117.349,,False,False,False,False,False,False,,117.349
41.0,136.198,0.09,Rick,0.0,0.0,120.201,,False,False,False,False,False,False,,120.201
42.0,134.115,0.09,Rick,0.0,0.0,121.983,,False,False,False,False,False,False,,121.983
43.0,132.395,0.02,Rick,0.0,0.0,123.182,,False,False,False,False,False,False,,123.182
44.0,130.781,0.12,Rick,0.0,0.0,124.082,,False,False,False,False,False,False,,124.082
45.0,129.016,0.1,Rick,0.0,0.0,124.818,,False,False,False,False,False,False,,124.818
46.0,126.843,0.01,Rick,0.0,0.0,125.366,,False,False,False,False,False,False,,125.366
47.0,124.005,0.03,Rick,0.0,0.0,125.49,,False,False,False,False,False,False,,125.49
48.0,120.246,0.07,Rick,0.0,0.0,124.62,,False,False,False,False,False,False,,124.62
49.0,118.497,0.11,Rick,0.0,0.0,123.814,,False,False,False,False,False,False,,123.814
50.0,121.556,0.08,Morty,0.0,125.057,123.814,,False,False,False,False,False,False,,248.871
51.0,122.728,0.03,Rick,0.0,125.057,125.327,,False,False,False,False,False,False,,250.384
52.0,122.373,0.02,Rick,0.0,125.057,125.257,,False,False,False,False,False,False,,250.315
53.0,120.85,0.11,Rick,0.0,125.057,124.84,,False,False,False,False,False,False,,249.897
54.0,118.522,0.03,Rick,0.0,125.057,123.827,,False,False,False,False,False,False,,248.884
55.0,115.747,0.08,Morty,0.0,122.03,123.827,,False,False,False,False,False,False,,245.857
56.0,112.886,0.06,Morty,0.0,119.505,123.827,,False,False,False,False,False,False,,243.332
57.0,110.301,0.05,Morty,0.0,116.635,123.827,,False,False,False,False,False,False,,240.462
58.0,108.35,0.05,Morty,0.0,114.102,123.827,,False,False,False,False,False,False,,237.929
59.0,107.354,0.06,Morty,0.0,112.685,123.827,,False,False,False,False,False,False,,236.512
60.0,107.379,0.03,Morty,0.0,112.721,123.827,,False,False,False,False,False,False,,236.548
61.0,108.113,0.05,Morty,0.0,113.772,123.827,,False,False,False,False,False,False,,237.599
62.0,109.164,0.02,Morty,0.0,115.197,123.827,,False,False,False,False,False,False,,239.024
63.0,110.135,0.02,Morty,0.0,116.432,123.827,,False,False,False,False,False,False,,240.259
64.0,110.655,0.07,Morty,0.0,117.062,123.827,,False,False,False,False,False,False,,240.889
65.0,110.492,0.01,Morty,0.0,116.867,123.827,,False,False,False,False,False,False,,240.694
66.0,109.618,0.0,Morty,0.0,115.785,123.827,,False,False,False,False,False,False,,239.612
67.0,108.054,0.01,Morty,0.0,113.69,123.827,,False,False,False,False,False,False,,237.517
68.0,105.82,0.02,Morty,0.0,110.342,123.827,,False,False,False,False,False,False,,234.169
