step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward,Done,Truncation
1.0,129.143,0.13,Rick,0.0,0.0,124.773,,,,,,,,,124.773,False,False
2.0,126.711,0.0,Rick,0.0,0.0,125.387,,,,,,,,,125.387,False,False
3.0,125.496,0.13,Rick,0.0,0.0,125.509,,,,,,,,,125.509,False,False
4.0,125.206,0.07,Rick,0.0,0.0,125.52,,,,,,,,,125.52,False,False
5.0,125.558,0.04,Rick,0.0,0.0,125.506,,,,,,,,,125.506,False,False
6.0,126.279,0.06,Rick,0.0,0.0,125.444,,,,,,,,,125.444,False,False
7.0,127.101,0.13,Rick,0.0,0.0,125.322,,,,,,,,,125.322,False,False
8.0,127.761,0.12,Rick,0.0,0.0,125.183,,,,,,,,,125.183,False,False
9.0,128.024,0.11,Rick,0.0,0.0,125.117,,,,,,,,,125.117,False,False
10.0,127.793,0.09,Rick,0.0,0.0,125.175,,,,,,,,,125.175,False,False
11.0,127.177,0.02,Rick,0.0,0.0,125.308,,,,,,,,,125.308,False,False
12.0,126.332,0.09,Rick,0.0,0.0,125.438,,,,,,,,,125.438,False,False
13.0,125.417,0.03,Rick,0.0,0.0,125.513,,,,,,,,,125.513,False,False
14.0,124.58,0.05,Rick,0.0,0.0,125.519,,,,,,,,,125.519,False,False
15.0,123.893,0.01,Rick,0.0,0.0,125.481,,,,,,,,,125.481,False,False
16.0,123.312,0.15,Rick,0.0,0.0,125.418,,,,,,,,,125.418,False,False
17.0,122.772,0.02,Rick,0.0,0.0,125.335,,,,,,,,,125.335,False,False
18.0,122.208,0.02,Rick,0.0,0.0,125.221,,,,,,,,,125.221,False,False
19.0,121.562,0.1,Rick,0.0,0.0,125.059,,,,,,,,,125.059,False,False
20.0,120.818,0.05,Rick,0.0,0.0,124.829,,,,,,,,,124.829,False,False
21.0,120.014,0.01,Rick,0.0,0.0,124.528,,,,,,,,,124.528,False,False
22.0,119.208,0.04,Rick,0.0,0.0,124.172,,,,,,,,,124.172,False,False
23.0,118.453,0.02,Morty,0.0,123.79,124.172,,,,,,,,,247.962,False,False
24.0,117.8,0.04,Morty,0.0,123.421,124.172,,,,,,,,,247.594,False,False
25.0,117.264,0.04,Morty,0.0,123.092,124.172,,,,,,,,,247.264,False,False
26.0,116.803,0.06,Morty,0.0,122.789,124.172,,,,,,,,,246.961,False,False
