step,CGM,Ins,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation,Infos,Action,Total Reward
1.0,151.54,,Rick,0.0,0.0,95.932,,0.0,0.0,,0.13,95.932
2.0,150.758,,Rick,0.0,0.0,97.642,,False,False,,0.0,97.642
3.0,149.161,,Rick,0.0,0.0,100.979,,False,False,,0.13,100.979
4.0,146.883,,Rick,0.0,0.0,105.373,,False,False,,0.07,105.373
5.0,144.147,,Rick,0.0,0.0,110.077,,False,False,,0.04,110.077
6.0,141.228,,Rick,0.0,0.0,114.407,,False,False,,0.06,114.407
7.0,138.429,,Rick,0.0,0.0,117.892,,False,False,,0.13,117.892
8.0,136.07,,Rick,0.0,0.0,120.321,,False,False,,0.12,120.321
9.0,134.454,,Rick,0.0,0.0,121.718,,False,False,,0.11,121.718
10.0,133.715,,Rick,0.0,0.0,122.284,,False,False,,0.09,122.284
11.0,133.74,,Rick,0.0,0.0,122.265,,False,False,,0.02,122.265
12.0,134.359,,Rick,0.0,0.0,121.793,,False,False,,0.09,121.793
13.0,135.401,,Rick,0.0,0.0,120.926,,False,False,,0.03,120.926
14.0,136.697,,Rick,0.0,0.0,119.721,,False,False,,0.05,119.721
15.0,138.089,,Rick,0.0,0.0,118.271,,False,False,,0.01,118.271
16.0,139.429,,Rick,0.0,0.0,116.721,,False,False,,0.15,116.721
17.0,140.575,,Rick,0.0,0.0,115.279,,False,False,,0.02,115.279
18.0,141.382,,Rick,0.0,0.0,114.196,,False,False,,0.02,114.196
19.0,141.731,,Rick,0.0,0.0,113.712,,False,False,,0.1,113.712
20.0,141.636,,Rick,0.0,0.0,113.845,,False,False,,0.05,113.845
21.0,141.315,,Rick,0.0,0.0,114.288,,False,False,,0.01,114.288
22.0,141.033,,Rick,0.0,0.0,114.671,,False,False,,0.04,114.671
23.0,141.053,,Rick,0.0,0.0,114.644,,False,False,,0.02,114.644
24.0,141.593,,Rick,0.0,0.0,113.904,,False,False,,0.04,113.904
25.0,142.597,,Rick,0.0,0.0,112.464,,False,False,,0.12,112.464
26.0,143.596,,Rick,0.0,0.0,110.949,,False,False,,0.09,110.949
27.0,144.029,,Rick,0.0,0.0,110.266,,False,False,,0.03,110.266
28.0,143.336,,Rick,0.0,0.0,111.352,,False,False,,0.06,111.352
29.0,141.031,,Rick,0.0,0.0,114.673,,False,False,,0.04,114.673
30.0,137.078,,Rick,0.0,0.0,119.34,,False,False,,0.02,119.34
31.0,132.113,,Rick,0.0,0.0,123.354,,False,False,,0.08,123.354
32.0,126.922,,Rick,0.0,0.0,125.353,,False,False,,0.08,125.353
33.0,122.291,,Rick,0.0,0.0,125.24,,False,False,,0.03,125.24
34.0,118.931,,Rick,0.0,0.0,124.038,,False,False,,0.12,124.038
35.0,117.098,,Morty,0.0,122.985,124.038,,False,False,,0.08,247.022
36.0,116.369,,Morty,0.0,122.488,124.038,,False,False,,0.0,246.526
37.0,116.17,,Morty,0.0,122.345,124.038,,False,False,,0.05,246.383
38.0,115.926,,Morty,0.0,122.165,124.038,,False,False,,0.03,246.203
39.0,115.113,,Morty,0.0,121.529,124.038,,False,False,,0.07,245.567
40.0,113.511,,Morty,0.0,120.115,124.038,,False,False,,0.05,244.152
41.0,111.359,,Morty,0.0,117.877,124.038,,False,False,,0.02,241.914
42.0,108.993,,Morty,0.0,114.972,124.038,,False,False,,0.04,239.009
43.0,106.754,,Morty,0.0,111.792,124.038,,False,False,,0.02,235.83
44.0,104.98,,Morty,0.0,108.976,124.038,,False,False,,0.07,233.014
45.0,104.01,,Morty,0.0,107.326,124.038,,False,False,,0.01,231.363
46.0,104.183,,Morty,0.0,107.626,124.038,,False,False,,0.01,231.664
47.0,105.839,,Morty,0.0,110.372,124.038,,False,False,,0.03,234.41
48.0,109.316,,Morty,0.0,115.396,124.038,,False,False,,0.07,239.433
49.0,113.186,,Morty,0.0,119.801,124.038,,False,False,,0.03,243.839
50.0,114.899,,Morty,0.0,121.352,124.038,,False,False,,0.05,245.39
51.0,115.995,,Morty,0.0,122.217,124.038,,False,False,,0.03,246.254
52.0,116.558,,Morty,0.0,122.622,124.038,,False,False,,0.02,246.659
53.0,116.671,,Morty,0.0,122.7,124.038,,False,False,,0.01,246.737
54.0,116.417,,Morty,0.0,122.523,124.038,,False,False,,0.03,246.56
55.0,115.879,,Morty,0.0,122.13,124.038,,False,False,,0.03,246.167
56.0,115.139,,Morty,0.0,121.55,124.038,,False,False,,0.06,245.588
57.0,114.28,,Morty,0.0,120.82,124.038,,False,False,,0.05,244.858
58.0,113.385,,Morty,0.0,119.994,124.038,,False,False,,0.05,244.032
59.0,112.551,,Morty,0.0,119.164,124.038,,False,False,,0.06,243.202
60.0,111.958,,Morty,0.0,118.539,124.038,,False,False,,0.03,242.576
61.0,111.914,,Morty,0.0,118.491,124.038,,False,False,,0.05,242.529
62.0,112.754,,Morty,0.0,119.371,124.038,,False,False,,0.02,243.409
63.0,114.813,,Morty,0.0,121.281,124.038,,False,False,,0.02,245.318
64.0,118.353,,Morty,0.0,123.736,124.038,,False,False,,0.07,247.774
65.0,123.196,,Morty,0.0,125.403,124.038,,False,False,,0.01,249.44
66.0,128.504,,Rick,0.0,125.403,124.982,,False,False,,0.0,250.385
67.0,133.291,,Rick,0.0,125.403,122.588,,False,False,,0.11,247.991
68.0,136.574,,Rick,0.0,125.403,119.841,,False,False,,0.1,245.244
69.0,137.467,,Rick,0.0,125.403,118.938,,False,False,,0.13,244.341
70.0,135.688,,Rick,0.0,125.403,120.671,,False,False,,0.13,246.074
71.0,131.852,,Rick,0.0,125.403,123.509,,False,False,,0.1,248.911
72.0,126.777,,Rick,0.0,125.403,125.377,,False,False,,0.03,250.779
73.0,121.279,,Rick,0.0,125.403,124.977,,False,False,,0.03,250.379
74.0,116.128,,Rick,0.0,125.403,122.314,,False,False,,0.13,247.717
75.0,111.81,,Morty,0.0,118.378,122.314,,False,False,,0.07,240.692
76.0,108.392,,Morty,0.0,114.159,122.314,,False,False,,0.07,236.473
77.0,105.843,,Morty,0.0,110.379,122.314,,False,False,,0.05,232.693
78.0,104.135,,Morty,0.0,107.543,122.314,,False,False,,0.01,229.857
79.0,103.22,,Morty,0.0,105.922,122.314,,False,False,,0.03,228.236
80.0,102.924,,Morty,0.0,105.384,122.314,,False,False,,0.06,227.698
81.0,102.892,,Morty,0.0,105.326,122.314,,False,False,,0.01,227.64
82.0,102.728,,Morty,0.0,105.024,122.314,,False,False,,0.07,227.338
83.0,102.036,,Morty,0.0,103.724,122.314,,False,False,,0.02,226.039
84.0,100.471,,Morty,0.0,100.637,122.314,,False,False,,0.02,222.951
85.0,97.991,,Morty,0.0,95.328,122.314,,False,False,,0.01,217.642
86.0,95.012,,Morty,0.0,88.272,122.314,,False,False,,0.01,210.586
87.0,92.049,,Morty,0.0,80.521,122.314,,False,False,,0.04,202.836
88.0,89.621,,Morty,0.0,73.621,122.314,,False,False,,0.07,195.935
89.0,88.201,,Morty,0.0,69.36,122.314,,False,False,,0.06,191.674
90.0,88.018,,Morty,0.0,68.797,122.314,,False,False,,0.05,191.112
91.0,88.925,,Morty,0.0,71.554,122.314,,False,False,,0.07,193.868
92.0,90.695,,Morty,0.0,76.733,122.314,,False,False,,0.03,199.047
93.0,93.098,,Morty,0.0,83.348,122.314,,False,False,,0.07,205.663
94.0,95.906,,Morty,0.0,90.468,122.314,,False,False,,0.01,212.783
95.0,98.891,,Morty,0.0,97.314,122.314,,False,False,,0.04,219.628
96.0,101.823,,Morty,0.0,103.315,122.314,,False,False,,0.03,225.63
97.0,104.473,,Morty,0.0,108.123,122.314,,False,False,,0.03,230.438
98.0,106.613,,Morty,0.0,111.578,122.314,,False,False,,0.01,233.892
99.0,107.976,,Morty,0.0,113.579,122.314,,False,False,,0.07,235.894
100.0,108.295,,Morty,0.0,114.026,122.314,,False,False,,0.02,236.34
101.0,107.568,,Morty,0.0,112.996,122.314,,False,False,,0.06,235.311
102.0,106.033,,Morty,0.0,110.679,122.314,,False,False,,0.04,232.993
103.0,103.928,,Morty,0.0,107.182,122.314,,False,False,,0.07,229.496
104.0,101.492,,Morty,0.0,102.673,122.314,,False,False,,0.01,224.987
105.0,98.963,,Morty,0.0,97.469,122.314,,False,False,,0.07,219.783
106.0,96.579,,Morty,0.0,92.075,122.314,,False,False,,0.05,214.39
107.0,94.578,,Morty,0.0,87.183,122.314,,False,False,,0.05,209.498
108.0,93.199,,Morty,0.0,83.616,122.314,,False,False,,0.01,205.931
109.0,92.64,,Morty,0.0,82.124,122.314,,False,False,,0.02,204.438
110.0,92.859,,Morty,0.0,82.713,122.314,,False,False,,0.05,205.028
111.0,93.461,,Morty,0.0,84.305,122.314,,False,False,,0.03,206.619
112.0,93.966,,Morty,0.0,85.619,122.314,,False,False,,0.05,207.934
113.0,93.898,,Morty,0.0,85.444,122.314,,False,False,,0.0,207.758
114.0,92.836,,Morty,0.0,82.649,122.314,,False,False,,0.02,204.964
115.0,90.694,,Morty,0.0,76.73,122.314,,False,False,,0.06,199.044
116.0,87.892,,Morty,0.0,68.409,122.314,,False,False,,0.02,190.724
117.0,84.961,,Morty,0.0,59.007,122.314,,False,False,,0.03,181.321
118.0,82.434,,Jerry,50.323,59.007,122.314,,False,False,,0.01,231.644
119.0,80.788,,Jerry,44.38,59.007,122.314,,False,False,,0.0,225.701
120.0,80.177,,Jerry,42.115,59.007,122.314,,False,False,,0.0,223.436
121.0,80.268,,Jerry,42.454,59.007,122.314,,False,False,,0.0,223.775
122.0,80.621,,Jerry,43.763,59.007,122.314,,False,False,,0.0,225.084
123.0,80.796,,Jerry,44.408,59.007,122.314,,False,False,,0.0,225.729
124.0,80.405,,Jerry,42.966,59.007,122.314,,False,False,,0.0,224.287
125.0,79.38,,Jerry,39.116,59.007,122.314,,False,False,,0.0,220.437
126.0,78.124,,Jerry,34.284,59.007,122.314,,False,False,,0.0,215.605
127.0,77.151,,Jerry,30.446,59.007,122.314,,False,False,,0.0,211.767
128.0,76.97,,Jerry,29.726,59.007,122.314,,False,False,,0.0,211.047
129.0,78.031,,Jerry,33.917,59.007,122.314,,False,False,,0.0,215.238
130.0,80.399,,Jerry,42.941,59.007,122.314,,False,False,,0.0,224.262
131.0,83.57,,Jerry,54.291,59.007,122.314,,False,False,,0.0,235.612
132.0,86.912,,Jerry,65.347,59.007,122.314,,False,False,,0.0,246.668
133.0,89.794,,Morty,65.347,74.131,122.314,,False,False,,0.0,261.792
134.0,91.637,,Morty,65.347,79.384,122.314,,False,False,,0.02,267.045
135.0,92.178,,Morty,65.347,80.872,122.314,,False,False,,0.0,268.533
136.0,91.629,,Morty,65.347,79.363,122.314,,False,False,,0.05,267.024
137.0,90.311,,Morty,65.347,75.632,122.314,,False,False,,0.07,263.293
138.0,88.54,,Morty,65.347,70.391,122.314,,False,False,,0.01,258.053
139.0,86.619,,Morty,65.347,64.415,122.314,,False,False,,0.01,252.076
