step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,131.72,0.04,Morty,0.0,179.848,0.0,179.848,0.0,0.0
2.0,131.975,0.0,Morty,0.0,176.35,0.0,176.35,False,False
3.0,132.753,0.02,Morty,0.0,164.884,0.0,164.884,False,False
4.0,133.849,0.07,Morty,0.0,146.687,0.0,146.687,False,False
5.0,134.991,0.04,Morty,0.0,125.189,0.0,125.189,False,False
6.0,135.865,0.02,Morty,0.0,106.951,0.0,106.951,False,False
7.0,136.14,0.08,Morty,0.0,100.909,0.0,100.909,False,False
8.0,135.469,0.0,Morty,0.0,115.395,0.0,115.395,False,False
9.0,133.566,0.06,Morty,0.0,151.622,0.0,151.622,False,False
10.0,130.517,0.09,Morty,0.0,194.558,0.0,194.558,False,False
11.0,126.976,0.02,Morty,0.0,221.095,0.0,221.095,False,False
12.0,123.721,0.09,Morty,0.0,223.365,0.0,223.365,False,False
13.0,121.533,0.03,Morty,0.0,212.983,0.0,212.983,False,False
14.0,121.105,0.05,Morty,0.0,209.829,0.0,209.829,False,False
15.0,122.593,0.01,Morty,0.0,219.205,0.0,219.205,False,False
16.0,125.348,0.03,Morty,0.0,224.879,0.0,224.879,False,False
17.0,128.546,0.02,Morty,0.0,212.425,0.0,212.425,False,False
18.0,131.361,0.02,Morty,0.0,184.534,0.0,184.534,False,False
19.0,133.048,0.01,Morty,0.0,160.238,0.0,160.238,False,False
20.0,133.327,0.05,Morty,0.0,155.659,0.0,155.659,False,False
21.0,132.625,0.01,Morty,0.0,166.863,0.0,166.863,False,False
22.0,131.521,0.04,Morty,0.0,182.471,0.0,182.471,False,False
23.0,130.599,0.02,Morty,0.0,193.657,0.0,193.657,False,False
24.0,130.393,0.04,Morty,0.0,195.917,0.0,195.917,False,False
25.0,131.171,0.08,Morty,0.0,186.918,0.0,186.918,False,False
26.0,132.795,0.09,Morty,0.0,164.244,0.0,164.244,False,False
27.0,135.035,0.03,Morty,0.0,124.3,0.0,124.3,False,False
28.0,137.664,0.06,Morty,0.0,64.632,0.0,64.632,False,False
29.0,140.449,0.04,Morty,0.0,-13.684,0.0,-13.684,False,False
30.0,143.143,0.02,Morty,0.0,-104.163,0.0,-104.163,False,False
31.0,145.468,0.08,Morty,0.0,-193.928,0.0,-193.928,False,False
32.0,147.142,0.08,Morty,0.0,-265.261,0.0,-265.261,False,False
33.0,147.883,0.03,Morty,0.0,-298.628,0.0,-298.628,False,False
34.0,147.444,0.0,Morty,0.0,-278.754,0.0,-278.754,False,False
35.0,145.794,0.08,Morty,0.0,-207.389,0.0,-207.389,False,False
36.0,143.22,0.0,Morty,0.0,-106.968,0.0,-106.968,False,False
37.0,140.082,0.05,Morty,0.0,-2.482,0.0,-2.482,False,False
38.0,136.741,0.03,Morty,0.0,87.138,0.0,87.138,False,False
39.0,133.542,0.07,Morty,0.0,152.037,0.0,152.037,False,False
40.0,130.738,0.05,Morty,0.0,192.071,0.0,192.071,False,False
41.0,128.45,0.09,Morty,0.0,213.097,0.0,213.097,False,False
42.0,126.766,0.09,Morty,0.0,221.88,0.0,221.88,False,False
43.0,125.776,0.02,Morty,0.0,224.398,0.0,224.398,False,False
44.0,125.568,0.07,Morty,0.0,224.677,0.0,224.677,False,False
45.0,126.232,0.01,Morty,0.0,223.482,0.0,223.482,False,False
46.0,127.856,0.01,Morty,0.0,216.84,0.0,216.84,False,False
47.0,130.531,0.03,Morty,0.0,194.413,0.0,194.413,False,False
48.0,134.343,0.07,Morty,0.0,137.703,0.0,137.703,False,False
49.0,138.072,0.03,Morty,0.0,54.116,0.0,54.116,False,False
50.0,139.667,0.08,Morty,0.0,9.882,0.0,9.882,False,False
51.0,140.229,0.03,Morty,0.0,-6.913,0.0,-6.913,False,False
52.0,139.985,0.02,Morty,0.0,0.459,0.0,0.459,False,False
53.0,139.162,0.01,Morty,0.0,24.44,0.0,24.44,False,False
54.0,137.987,0.03,Morty,0.0,56.326,0.0,56.326,False,False
55.0,136.688,0.08,Morty,0.0,88.381,0.0,88.381,False,False
56.0,135.492,0.06,Morty,0.0,114.917,0.0,114.917,False,False
57.0,134.625,0.05,Morty,0.0,132.351,0.0,132.351,False,False
58.0,134.316,0.05,Morty,0.0,138.213,0.0,138.213,False,False
59.0,134.747,0.06,Morty,0.0,129.991,0.0,129.991,False,False
60.0,135.841,0.03,Morty,0.0,107.463,0.0,107.463,False,False
61.0,137.129,0.05,Morty,0.0,77.899,0.0,77.899,False,False
62.0,138.051,0.09,Morty,0.0,54.667,0.0,54.667,False,False
63.0,138.052,0.02,Morty,0.0,54.643,0.0,54.643,False,False
64.0,136.636,0.08,Morty,0.0,89.594,0.0,89.594,False,False
65.0,133.683,0.09,Morty,0.0,149.603,0.0,149.603,False,False
66.0,129.633,0.0,Morty,0.0,203.539,0.0,203.539,False,False
67.0,125.049,0.01,Morty,0.0,224.998,0.0,224.998,False,False
68.0,120.499,0.02,Morty,0.0,204.738,0.0,204.738,False,False
69.0,116.505,0.08,Morty,0.0,152.841,0.0,152.841,False,False
70.0,113.357,0.05,Morty,0.0,89.451,0.0,89.451,False,False
71.0,110.987,0.02,Morty,0.0,28.624,0.0,28.624,False,False
72.0,109.245,0.03,Morty,0.0,-23.213,0.0,-23.213,False,False
73.0,107.986,0.03,Morty,0.0,-64.475,0.0,-64.475,False,False
74.0,107.072,0.07,Morty,0.0,-96.397,0.0,-96.397,False,False
75.0,106.433,0.07,Morty,0.0,-119.73,0.0,-119.73,False,False
76.0,106.094,0.07,Morty,0.0,-132.424,0.0,-132.424,False,False
77.0,106.104,0.05,Morty,0.0,-132.05,0.0,-132.05,False,False
78.0,106.511,0.01,Morty,0.0,-116.847,0.0,-116.847,False,False
79.0,107.361,0.03,Morty,0.0,-86.131,0.0,-86.131,False,False
80.0,108.694,0.06,Morty,0.0,-40.883,0.0,-40.883,False,False
81.0,110.538,0.01,Morty,0.0,15.847,0.0,15.847,False,False
82.0,112.918,0.07,Morty,0.0,79.027,0.0,79.027,False,False
83.0,115.86,0.02,Morty,0.0,141.463,0.0,141.463,False,False
84.0,119.361,0.02,Morty,0.0,193.201,0.0,193.201,False,False
85.0,123.244,0.08,Morty,0.0,221.917,0.0,221.917,False,False
86.0,127.074,0.01,Morty,0.0,220.699,0.0,220.699,False,False
87.0,130.357,0.04,Morty,0.0,196.305,0.0,196.305,False,False
