step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Done,Truncation
1.0,110.376,0.04,Morty,0.0,11.135,0.0,11.135,0.0,0.0
2.0,106.653,0.0,Morty,0.0,-111.607,0.0,-111.607,False,False
3.0,104.404,0.02,Morty,0.0,-199.187,0.0,-199.187,False,False
4.0,103.368,0.03,Morty,0.0,-242.948,0.0,-242.948,False,False
5.0,103.331,0.04,Morty,0.0,-244.527,0.0,-244.527,False,False
6.0,104.115,0.02,Morty,0.0,-211.203,0.0,-211.203,False,False
7.0,105.559,0.0,Morty,0.0,-152.958,0.0,-152.958,False,False
8.0,107.521,0.0,Morty,0.0,-80.507,0.0,-80.507,False,False
9.0,109.863,0.02,Morty,0.0,-4.114,0.0,-4.114,False,False
10.0,112.423,0.01,Morty,0.0,66.816,0.0,66.816,False,False
11.0,114.994,0.02,Morty,0.0,124.882,0.0,124.882,False,False
12.0,117.365,0.02,Morty,0.0,166.706,0.0,166.706,False,False
13.0,119.326,0.03,Morty,0.0,192.802,0.0,192.802,False,False
14.0,120.693,0.04,Morty,0.0,206.451,0.0,206.451,False,False
15.0,121.433,0.01,Morty,0.0,212.275,0.0,212.275,False,False
16.0,121.732,0.03,Morty,0.0,214.322,0.0,214.322,False,False
17.0,121.829,0.02,Morty,0.0,214.942,0.0,214.942,False,False
18.0,121.959,0.02,Morty,0.0,215.754,0.0,215.754,False,False
19.0,122.354,0.01,Morty,0.0,217.997,0.0,217.997,False,False
20.0,123.187,0.02,Morty,0.0,221.713,0.0,221.713,False,False
21.0,124.555,0.01,Morty,0.0,224.802,0.0,224.802,False,False
22.0,126.535,0.04,Morty,0.0,222.642,0.0,222.642,False,False
23.0,129.206,0.02,Morty,0.0,207.308,0.0,207.308,False,False
24.0,132.609,0.04,Morty,0.0,167.109,0.0,167.109,False,False
25.0,136.565,0.04,Morty,0.0,91.241,0.0,91.241,False,False
26.0,140.571,0.01,Morty,0.0,-17.446,0.0,-17.446,False,False
27.0,144.046,0.03,Rick,0.0,-17.446,-137.733,-155.179,False,False
28.0,146.411,0.06,Rick,0.0,-17.446,-233.434,-250.88,False,False
29.0,147.15,0.04,Rick,0.0,-17.446,-265.615,-283.061,False,False
30.0,146.114,0.02,Rick,0.0,-17.446,-220.81,-238.256,False,False
31.0,143.711,0.08,Rick,0.0,-17.446,-125.108,-142.554,False,False
32.0,140.471,0.08,Rick,0.0,-17.446,-14.347,-31.793,False,False
33.0,136.923,0.03,Rick,0.0,-17.446,82.837,65.391,False,False
34.0,133.575,0.0,Morty,0.0,151.473,82.837,234.31,False,False
35.0,130.792,0.03,Morty,0.0,191.455,82.837,274.292,False,False
36.0,128.73,0.0,Morty,0.0,211.084,82.837,293.921,False,False
37.0,127.5,0.04,Morty,0.0,218.751,82.837,301.588,False,False
38.0,127.21,0.03,Morty,0.0,220.116,82.837,302.953,False,False
39.0,127.95,0.03,Morty,0.0,216.296,82.837,299.133,False,False
40.0,129.691,0.04,Morty,0.0,202.991,82.837,285.828,False,False
41.0,132.224,0.02,Morty,0.0,172.809,82.837,255.646,False,False
42.0,135.301,0.04,Morty,0.0,118.899,82.837,201.736,False,False
43.0,138.671,0.02,Morty,0.0,38.093,82.837,120.93,False,False
44.0,142.089,0.04,Morty,0.0,-67.02,82.837,15.817,False,False
45.0,145.304,0.01,Rick,0.0,-67.02,-187.241,-254.261,False,False
46.0,148.069,0.01,Rick,0.0,-67.02,-307.156,-374.176,False,False
47.0,150.135,0.03,Rick,0.0,-67.02,-406.755,-473.775,False,False
48.0,151.254,0.07,Rick,0.0,-67.02,-464.288,-531.308,False,False
49.0,152.042,0.03,Rick,0.0,-67.02,-506.287,-573.307,False,False
50.0,153.227,0.08,Rick,0.0,-67.02,-571.785,-638.805,False,False
51.0,153.219,0.03,Rick,0.0,-67.02,-571.308,-638.328,False,False
52.0,152.24,0.02,Rick,0.0,-67.02,-517.025,-584.045,False,False
53.0,150.514,0.01,Rick,0.0,-67.02,-425.965,-492.985,False,False
54.0,148.263,0.03,Rick,0.0,-67.02,-316.188,-383.208,False,False
55.0,145.711,0.08,Rick,0.0,-67.02,-203.96,-270.98,False,False
56.0,143.081,0.06,Rick,0.0,-67.02,-101.908,-168.928,False,False
57.0,140.594,0.05,Rick,0.0,-67.02,-18.177,-85.197,False,False
58.0,138.475,0.05,Rick,0.0,-67.02,43.426,-23.594,False,False
59.0,136.952,0.06,Morty,0.0,82.139,43.426,125.565,False,False
60.0,136.296,0.03,Morty,0.0,97.391,43.426,140.818,False,False
61.0,136.837,0.02,Morty,0.0,84.893,43.426,128.32,False,False
62.0,138.917,0.02,Morty,0.0,31.33,43.426,74.757,False,False
63.0,142.879,0.02,Morty,0.0,-94.667,43.426,-51.24,False,False
64.0,148.971,0.04,Rick,0.0,-94.667,-349.618,-444.284,False,False
65.0,156.858,0.01,Rick,0.0,-94.667,-789.91,-884.577,False,False
66.0,165.332,0.0,Rick,0.0,-94.667,-1401.67,-1496.337,False,False
67.0,172.994,0.01,Rick,0.0,-94.667,-2078.425,-2173.092,False,False
68.0,178.444,0.02,Rick,0.0,-94.667,-2631.226,-2725.893,False,False
69.0,180.435,0.08,Rick,0.0,-94.667,-2848.02,-2942.686,False,False
70.0,178.643,0.05,Rick,0.0,-94.667,-2652.572,-2747.238,False,False
71.0,174.126,0.02,Rick,0.0,-94.667,-2188.377,-2283.043,False,False
72.0,168.249,0.03,Rick,0.0,-94.667,-1645.502,-1740.168,False,False
73.0,162.377,0.03,Rick,0.0,-94.667,-1172.077,-1266.744,False,False
74.0,157.761,0.07,Rick,0.0,-94.667,-848.254,-942.92,False,False
75.0,154.958,0.07,Rick,0.0,-94.667,-672.473,-767.139,False,False
76.0,153.493,0.07,Rick,0.0,-94.667,-586.858,-681.524,False,False
77.0,152.66,0.05,Rick,0.0,-94.667,-540.065,-634.732,False,False
78.0,151.751,0.01,Rick,0.0,-94.667,-490.625,-585.292,False,False
79.0,150.125,0.03,Rick,0.0,-94.667,-406.289,-500.956,False,False
80.0,147.532,0.06,Rick,0.0,-94.667,-282.709,-377.375,False,False
81.0,144.309,0.01,Rick,0.0,-94.667,-147.838,-242.504,False,False
82.0,140.923,0.07,Rick,0.0,-94.667,-28.539,-123.205,False,False
83.0,137.842,0.02,Rick,0.0,-94.667,60.09,-34.577,False,False
84.0,135.489,0.02,Morty,0.0,114.98,60.09,175.07,False,False
85.0,134.024,0.01,Morty,0.0,143.573,60.09,203.663,False,False
86.0,133.207,0.01,Morty,0.0,157.641,60.09,217.731,False,False
87.0,132.713,0.04,Morty,0.0,165.504,60.09,225.594,False,False
88.0,132.216,0.04,Morty,0.0,172.935,60.09,233.025,False,False
89.0,131.417,0.04,Morty,0.0,183.819,60.09,243.909,False,False
90.0,130.198,0.01,Morty,0.0,197.983,60.09,258.073,False,False
91.0,128.701,0.03,Morty,0.0,211.304,60.09,271.394,False,False
92.0,127.129,0.03,Morty,0.0,220.469,60.09,280.559,False,False
93.0,125.684,0.03,Morty,0.0,224.532,60.09,284.622,False,False
94.0,124.569,0.01,Morty,0.0,224.814,60.09,284.904,False,False
95.0,123.986,0.04,Morty,0.0,223.972,60.09,284.062,False,False
96.0,124.138,0.03,Morty,0.0,224.256,60.09,284.347,False,False
97.0,125.226,0.03,Morty,0.0,224.949,60.09,285.039,False,False
98.0,127.455,0.01,Morty,0.0,218.975,60.09,279.065,False,False
99.0,130.251,0.02,Morty,0.0,197.428,60.09,257.518,False,False
100.0,132.14,0.02,Morty,0.0,174.019,60.09,234.109,False,False
