step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
1.0,141.97754858314065,0.0,113.36289694602601,0.0,0.0,0.0,0.0,0.0,0.0,141.97754858314065
2.0,138.37636250564566,0.0,117.95101721030528,0.0,0.0,False,False,False,False,138.37636250564566
3.0,135.92025772965422,0.0,120.45985225646143,0.0,0.0,False,False,False,False,135.92025772965422
4.0,134.41385759714507,0.10000000149011612,121.7496811723098,0.0,0.0,False,False,False,False,134.41385759714507
5.0,133.72566976487352,0.0,122.2759509952889,0.0,0.0,False,False,False,False,133.72566976487352
6.0,133.7646215240154,0.0,122.24721841920052,0.0,0.0,False,False,False,False,133.7646215240154
7.0,134.46513785127465,0.0,121.70888495536508,0.0,0.0,False,False,False,False,134.46513785127465
8.0,135.77768436466638,0.0,120.5900365927489,0.0,0.0,False,False,False,False,135.77768436466638
9.0,137.65016040585635,0.0,118.74519618777606,0.0,0.0,False,False,False,False,137.65016040585635
10.0,139.9609358856301,0.0,116.06542980481618,0.0,0.0,False,False,False,False,139.9609358856301
11.0,142.47856179567376,0.0,112.63887283113161,0.0,0.0,False,False,False,False,142.47856179567376
12.0,144.94876623183592,0.0,108.76307370728512,0.0,0.0,False,False,False,False,144.94876623183592
13.0,147.11880117253241,0.0,104.9383490168401,0.0,0.0,False,False,False,False,147.11880117253241
14.0,148.7530681515458,0.09597355872392654,101.79866565062287,0.0,0.0,False,False,False,False,148.7530681515458
15.0,149.713805412938,0.0,99.84897559294973,0.0,0.0,False,False,False,False,149.713805412938
16.0,150.00947519366514,0.0,99.2334618333042,0.0,0.0,False,False,False,False,150.00947519366514
17.0,149.6811097487478,0.10000000149011612,99.91659244856555,0.0,0.0,False,False,False,False,149.6811097487478
18.0,148.769784355613,0.0,101.76540035522373,0.0,0.0,False,False,False,False,148.769784355613
19.0,147.32372980058997,0.07337038964033127,104.55686340350837,0.0,0.0,False,False,False,False,147.32372980058997
20.0,145.4341365371122,0.0,107.94169753481856,0.0,0.0,False,False,False,False,145.4341365371122
21.0,143.25663820677997,0.10000000149011612,111.47295813271091,0.0,0.0,False,False,False,False,143.25663820677997
22.0,140.96111167434333,0.0,114.76745229187122,0.0,0.0,False,False,False,False,140.96111167434333
23.0,138.71733556828568,0.10000000149011612,117.56295330940691,0.0,0.0,False,False,False,False,138.71733556828568
24.0,136.68511783763648,0.0,119.73251300267464,0.0,0.0,False,False,False,False,136.68511783763648
25.0,134.9649447274084,0.0,121.29977581213575,0.0,0.0,False,False,False,False,134.9649447274084
26.0,133.56837711738845,0.0,122.39068996597052,0.0,0.0,False,False,False,False,133.56837711738845
27.0,132.48717424089102,0.0,123.12354710646923,0.0,0.0,False,False,False,False,132.48717424089102
28.0,131.71308368764826,0.10000000149011612,123.58835036408232,0.0,0.0,False,False,False,False,131.71308368764826
29.0,131.22986746594884,0.0,123.85316303160744,0.0,0.0,False,False,False,False,131.22986746594884
30.0,130.97323402861542,0.0,123.98588597504511,0.0,0.0,False,False,False,False,130.97323402861542
31.0,130.80677410594194,0.0,124.0690370908435,0.0,0.0,False,False,False,False,130.80677410594194
32.0,130.57807084660357,0.10000000149011612,124.17951175075552,0.0,0.0,False,False,False,False,130.57807084660357
33.0,130.13474722024046,0.00931681040674448,124.38123486811446,0.0,0.0,False,False,False,False,130.13474722024046
34.0,129.34308262978647,0.0,124.70069172156718,0.0,0.0,False,False,False,False,129.34308262978647
35.0,128.18106668561597,0.0,125.0749271212369,0.0,0.0,False,False,False,False,128.18106668561597
36.0,126.79423470489601,0.10000000149011612,125.37416395199955,0.0,0.0,False,False,False,False,126.79423470489601
37.0,125.36537475685248,0.0,125.51470049318823,0.0,0.0,False,False,False,False,125.36537475685248
38.0,124.07730116300354,0.10000000149011612,125.4954561402509,0.0,0.0,False,False,False,False,124.07730116300354
39.0,123.09627041250431,0.10000000149011612,125.3879723851021,0.0,0.0,False,False,False,False,123.09627041250431
40.0,122.48913599826787,0.0,125.2812451051467,0.0,0.0,False,False,False,False,122.48913599826787
41.0,122.17362250777913,0.0,125.2136422475055,0.0,0.0,False,False,False,False,122.17362250777913
42.0,122.03424634537792,0.10000000149011612,125.18113528467939,0.0,0.0,False,False,False,False,122.03424634537792
43.0,121.95545957803678,0.10000000149011612,125.16204294541592,0.0,0.0,False,False,False,False,121.95545957803678
44.0,121.82167859319304,0.0,125.12843805323735,0.0,0.0,False,False,False,False,121.82167859319304
45.0,121.51728030170769,0.0,125.04641324157637,0.0,0.0,False,False,False,False,121.51728030170769
46.0,120.92659036911213,0.0,124.86519512686039,0.0,0.0,False,False,False,False,120.92659036911213
47.0,119.93390850597413,0.10000000149011612,124.4951062572228,0.0,0.0,False,False,False,False,119.93390850597413
48.0,118.42355753383904,0.0,124.4951062572228,0.10000000149011612,123.7743763396719,False,False,False,False,118.42355753383904
49.0,117.29562002524094,0.0,124.4951062572228,0.0,123.11203982161953,False,False,False,False,117.29562002524094
50.0,117.82072987444548,0.0,124.4951062572228,0.0,123.4335898974042,False,False,False,False,117.82072987444548
51.0,118.6210617265311,0.0,124.4951062572228,0.10000000149011612,123.8794365968563,False,False,False,False,118.6210617265311
52.0,119.6654720356203,0.0,124.4951062572228,0.0,124.38091181736979,False,False,False,False,119.6654720356203
